0,01 8 0,052838989385065635
0,01 9 0,04243082087830122
0,01 10 0,05344052428788084
0,01 11 0,04557490051863232
0,01 12 0,04739991739286691
0,01 13 0,044680271265601416
0,01 14 0,04924185446621939
0,011 8 0,06156358765504234
0,011 9 0,06257010131979131
0,011 10 0,06359277995356988
0,011 11 0,053276325635619556
0,011 12 0,0415093999500858
0,011 13 0,04626029039317877
0,011 14 0,05423389453394626
0,012 8 0,049221178305938924
0,012 9 0,05435169413469039
0,012 10 0,04664128742421194
0,012 11 0,04698406554804715
0,012 12 0,04702747532454504
0,012 13 0,04866151775270778
0,012 14 0,04826710439570615
0,013 8 0,04178025119103146
0,013 9 0,04676728037998086
0,013 10 0,043270206130251836
0,013 11 0,06224322078562797
0,013 12 0,04399648124732074
0,013 13 0,046765766446127593
0,013 14 0,03716908466838397
0,014 8 0,05071425622003147
0,014 9 0,04127505384011649
0,014 10 0,037439174475599676
0,014 11 0,05380400949790679
0,014 12 0,04141089226209266
0,014 13 0,04461257917951008
0,014 14 0,04105027615540647
0,015 8 0,039644487616361544
0,015 9 0,038871105551389465
0,015 10 0,04857694093500214
0,015 11 0,04039285629198783
0,015 12 0,04689528543854147
0,015 13 0,051795657926098346
0,015 14 0,047108554586124604
0,016 8 0,03852728646967207
0,016 9 0,03535376229503473
0,016 10 0,03229263823363192
0,016 11 0,04317028966026964
0,016 12 0,04182765123286385
0,016 13 0,03731805962992467
0,016 14 0,04431083480215785
0,017 8 0,06699040218892759
0,017 9 0,05029039252466801
0,017 10 0,039446590574722856
0,017 11 0,03327886615486487
0,017 12 0,04349864404751378
0,017 13 0,04201717511253447
0,017 14 0,04497505734973441
0,018 8 0,036654168775073236
0,018 9 0,04573903340929743
0,018 10 0,036804760159620614
0,018 11 0,0456896240092344
0,018 12 0,038401011298695456
0,018 13 0,039535231995004166
0,018 14 0,044812821459919334
0,019 8 0,035245449092872305
0,019 9 0,03712032916067582
0,019 10 0,03616023336565906
0,019 11 0,04046081689063179
0,019 12 0,03803565271437601
0,019 13 0,04142736068331213
0,019 14 0,038501896474227144
0,02 8 0,03241538858249914
0,02 9 0,04056291419136823
0,02 10 0,0450272418370147
0,02 11 0,03542809828262786
0,02 12 0,03845581320742764
0,02 13 0,03745418478024594
0,02 14 0,0361454041278806
0,021 8 0,04454186026461002
0,021 9 0,04857375874891905
0,021 10 0,04161334386968439
0,021 11 0,033102611647486034
0,021 12 0,03677279202896701
0,021 13 0,03830639527840148
0,021 14 0,03523181982632773
0,022 8 0,03593553931162573
0,022 9 0,0350824886919754
0,022 10 0,0324938439726881
0,022 11 0,0405272958791499
0,022 12 0,042201945870847656
0,022 13 0,0391212521114674
0,022 14 0,04499092782218449
0,023 8 0,06215263706284281
0,023 9 0,032031357875547097
0,023 10 0,05416302713326006
0,023 11 0,040074263632468174
0,023 12 0,03621895303828278
0,023 13 0,036534479627560866
0,023 14 0,052381866417805595
0,024 8 0,0368100960179507
0,024 9 0,04065269127335246
0,024 10 0,04078251483226515
0,024 11 0,035006619106255535
0,024 12 0,03303579047859022
0,024 13 0,03227529379688454
0,024 14 0,03806762668736431
0,025 8 0,037779143179735186
0,025 9 0,046072118845270495
0,025 10 0,037255907626625846
0,025 11 0,04885677047618718
0,025 12 0,038465093455730334
0,025 13 0,033160926478369455
0,025 14 0,04779884858140108
0,026 8 0,03391493000249041
0,026 9 0,038172209801423086
0,026 10 0,03522697721788678
0,026 11 0,04137443219388206
0,026 12 0,039100445266829174
0,026 13 0,03741046895454956
0,026 14 0,03998377003821825
0,027 8 0,03972794917476797
0,027 9 0,03587210143624565
0,027 10 0,03376677017131117
0,027 11 0,0362633190711625
0,027 12 0,03637274332287948
0,027 13 0,03938423420035968
0,027 14 0,04334611445599759
0,028 8 0,03681712220823057
0,028 9 0,035573975876769304
0,028 10 0,03773357873820497
0,028 11 0,04218354942612163
0,028 12 0,04087607690911582
0,028 13 0,03699845346166733
0,028 14 0,04812739157981348
0,029 8 0,04147609612592364
0,029 9 0,036668115633499795
0,029 10 0,03942056246465425
0,029 11 0,0400756193650476
0,029 12 0,042243978932103465
0,029 13 0,041266647874913596
0,029 14 0,04146804557539553
0,03 8 0,04612084830208533
0,03 9 0,040173331412362824
0,03 10 0,04556539759130148
0,03 11 0,0376350080133227
0,03 12 0,039989948378145825
0,03 13 0,040829355048014444
0,03 14 0,04065525535616175
0,031 8 0,04176455727731848
0,031 9 0,038715281849038045
0,031 10 0,042220111700189265
0,031 11 0,039591795675098206
0,031 12 0,041727458015353616
0,031 13 0,04618062935230601
0,031 14 0,04132925678816995
0,032 8 0,036928021363605824
0,032 9 0,043024072942575146
0,032 10 0,03779773971632818
0,032 11 0,04448600351360675
0,032 12 0,04023003452332165
0,032 13 0,04243247148349924
0,032 14 0,0369349562770105
0,033 8 0,040025095272821117
0,033 9 0,044049774354080404
0,033 10 0,03585662086802869
0,033 11 0,037923640792782654
0,033 12 0,04443289030866759
0,033 13 0,04090007382855354
0,033 14 0,03956705205375956
0,034 8 0,03963437298710882
0,034 9 0,0464337277080845
0,034 10 0,039360148347673755
0,034 11 0,03797770132220384
0,034 12 0,040433368827155286
0,034 13 0,038635385742910956
0,034 14 0,03968116522743094
0,035 8 0,039774917984648855
0,035 9 0,04112839326251201
0,035 10 0,04628377204304255
0,035 11 0,04636709761458468
0,035 12 0,03995287446183562
0,035 13 0,03924539250249777
0,035 14 0,04549476009395166
0,036 8 0,045000937736790286
0,036 9 0,03839629976044546
0,036 10 0,052368271804275425
0,036 11 0,038971068422293566
0,036 12 0,04167978189990555
0,036 13 0,04540921372980103
0,036 14 0,04588268022107585
0,037 8 0,041564748382363945
0,037 9 0,046022511126063946
0,037 10 0,038295122175891254
0,037 11 0,040376050325543436
0,037 12 0,045241263744784106
0,037 13 0,047491878513892014
0,037 14 0,04920414329738364
0,038 8 0,050460646194206545
0,038 9 0,0350321854396716
0,038 10 0,044184250464055996
0,038 11 0,04454859130393637
0,038 12 0,03963621709921508
0,038 13 0,0440622335789877
0,038 14 0,04399332955210732
0,039 8 0,03758531187964304
0,039 9 0,046307683418176586
0,039 10 0,04734987582745012
0,039 11 0,041824625258026056
0,039 12 0,041633637291904016
0,039 13 0,05002553292201338
0,039 14 0,04747357260966935
